MsgID.GLOBAL_POSITION,0.0000000,-122.3976463,37.7931384,4.9670000
MsgID.LOCAL_VELOCITY,0.0000000,6.2200000,-5.8200000,-0.0100000
MsgID.LOCAL_POSITION,67.3280000,74.4007416,-18.4857578,-4.9673052
MsgID.LOCAL_VELOCITY,67.3280000,4.9140487,-4.6546588,-0.1523952
MsgID.GLOBAL_POSITION,0.0000000,-122.3976612,37.7931500,4.9670000
MsgID.LOCAL_VELOCITY,0.0000000,4.9100000,-4.6500000,-0.1500000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976741,37.7931610,4.9610000
MsgID.LOCAL_VELOCITY,0.0000000,3.6200000,-3.4300000,-0.1800000
MsgID.LOCAL_POSITION,67.5780000,75.6146088,-19.6290646,-4.9616127
MsgID.LOCAL_VELOCITY,67.5780000,3.6263187,-3.4373381,-0.1871583
MsgID.GLOBAL_POSITION,0.0000000,-122.3976823,37.7931694,4.9580000
MsgID.LOCAL_VELOCITY,0.0000000,3.5800000,-2.2000000,-0.2300000
MsgID.LOCAL_POSITION,67.8280000,76.5517273,-20.3573399,-4.9580317
MsgID.LOCAL_VELOCITY,67.8280000,3.5826793,-2.2073131,-0.2319382
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976865,37.7931758,4.9600000
MsgID.LOCAL_VELOCITY,0.0000000,3.8700000,-0.8400000,-0.2600000
MsgID.LOCAL_POSITION,68.0780000,77.2615204,-20.7303753,-4.9608064
MsgID.LOCAL_VELOCITY,68.0780000,3.8794894,-0.8478088,-0.2684591
MsgID.LOCAL_POSITION,68.3280000,78.3073349,-20.7666130,-4.9745331
MsgID.LOCAL_VELOCITY,68.3280000,3.4803038,0.4116055,-0.1470714
MsgID.GLOBAL_POSITION,0.0000000,-122.3976869,37.7931852,4.9740000
MsgID.LOCAL_VELOCITY,0.0000000,3.4800000,0.4100000,-0.1400000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976861,37.7931927,4.9720000
MsgID.LOCAL_VELOCITY,0.0000000,2.5600000,1.4600000,-0.1400000
MsgID.LOCAL_POSITION,68.5780000,79.1412125,-20.6961308,-4.9722123
MsgID.LOCAL_VELOCITY,68.5780000,2.5661008,1.4651113,-0.1457908
MsgID.LOCAL_POSITION,68.8290000,79.5843887,-20.2448101,-4.9910212
MsgID.LOCAL_VELOCITY,68.8290000,1.3662450,2.0979183,-0.0653370
MsgID.GLOBAL_POSITION,0.0000000,-122.3976810,37.7931967,4.9910000
MsgID.LOCAL_VELOCITY,0.0000000,1.3600000,2.0900000,-0.0600000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,69.0780000,79.8292313,-19.6403465,-4.9991074
MsgID.LOCAL_VELOCITY,69.0780000,0.1197135,2.1552753,0.0519963
MsgID.GLOBAL_POSITION,0.0000000,-122.3976742,37.7931989,4.9990000
MsgID.LOCAL_VELOCITY,0.0000000,0.1100000,2.1500000,0.0500000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976678,37.7931993,4.9970000
MsgID.LOCAL_VELOCITY,0.0000000,-0.8100000,1.5900000,0.1000000
MsgID.LOCAL_POSITION,69.3290000,79.8770065,-19.0683231,-4.9974313
MsgID.LOCAL_VELOCITY,69.3290000,-0.8160393,1.5967450,0.1020873
MsgID.GLOBAL_POSITION,0.0000000,-122.3976643,37.7931963,4.9990000
MsgID.LOCAL_VELOCITY,0.0000000,-1.1600000,0.7700000,0.1100000
MsgID.LOCAL_POSITION,69.5800000,79.5472336,-18.7558498,-4.9995070
MsgID.LOCAL_VELOCITY,69.5800000,-1.1656997,0.7749429,0.1125186
MsgID.GLOBAL_POSITION,0.0000000,-122.3976640,37.7931945,4.9950000
MsgID.LOCAL_VELOCITY,0.0000000,-0.3200000,-0.1100000,0.1500000
MsgID.LOCAL_POSITION,69.8300000,79.3466187,-18.7372952,-4.9955387
MsgID.LOCAL_VELOCITY,69.8300000,-0.3193001,-0.1184625,0.1576774
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976661,37.7931933,5.0130000
MsgID.LOCAL_VELOCITY,0.0000000,0.7200000,-1.0200000,0.0800000
MsgID.LOCAL_POSITION,70.0810000,79.2137299,-18.9187584,-5.0130014
MsgID.LOCAL_VELOCITY,70.0810000,0.7255895,-1.0287127,0.0894232
MsgID.GLOBAL_POSITION,0.0000000,-122.3976677,37.7931953,5.0030000
MsgID.LOCAL_VELOCITY,0.0000000,1.5100000,-1.8400000,0.2500000
MsgID.LOCAL_POSITION,70.3300000,79.4316330,-19.0628262,-5.0035944
MsgID.LOCAL_VELOCITY,70.3300000,1.5191095,-1.8402829,0.2576697
MsgID.GLOBAL_POSITION,0.0000000,-122.3976736,37.7931994,4.9920000
MsgID.LOCAL_VELOCITY,0.0000000,2.3700000,-2.6900000,0.0800000
MsgID.LOCAL_POSITION,70.5810000,79.8831024,-19.5844536,-4.9924817
MsgID.LOCAL_VELOCITY,70.5810000,2.3774371,-2.6916149,0.0803799
MsgID.GLOBAL_POSITION,0.0000000,-122.3976829,37.7932059,4.9970000
MsgID.LOCAL_VELOCITY,0.0000000,3.1400000,-3.4400000,0.0700000
MsgID.LOCAL_POSITION,70.8310000,80.6058655,-20.4162407,-4.9970536
MsgID.LOCAL_VELOCITY,70.8310000,3.1448736,-3.4441421,0.0714666
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976957,37.7932157,4.9810000
MsgID.LOCAL_VELOCITY,0.0000000,3.8600000,-4.1300000,0.0800000
MsgID.LOCAL_POSITION,71.0810000,81.6948776,-21.5485802,-4.9812217
MsgID.LOCAL_VELOCITY,71.0810000,3.8620331,-4.1347699,0.0857505
MsgID.GLOBAL_POSITION,0.0000000,-122.3977076,37.7932253,4.9800000
MsgID.LOCAL_VELOCITY,0.0000000,4.6000000,-4.8400000,-0.0700000
MsgID.LOCAL_POSITION,71.3320000,82.7698288,-22.6046047,-4.9807992
MsgID.LOCAL_VELOCITY,71.3320000,4.6029334,-4.8401709,-0.0777987
MsgID.GLOBAL_POSITION,0.0000000,-122.3977219,37.7932360,4.9840000
MsgID.LOCAL_VELOCITY,0.0000000,5.2500000,-5.4400000,-0.0700000
MsgID.LOCAL_POSITION,71.5820000,83.9496155,-23.8799133,-4.9844646
MsgID.LOCAL_VELOCITY,71.5820000,5.2549515,-5.4441848,-0.0785281
MsgID.GLOBAL_POSITION,0.0000000,-122.3977400,37.7932471,4.9850000
MsgID.LOCAL_VELOCITY,0.0000000,5.8200000,-5.9300000,-0.0700000
MsgID.LOCAL_POSITION,71.8310000,85.1846008,-25.4841499,-4.9851618
MsgID.LOCAL_VELOCITY,71.8310000,5.8200231,-5.9386463,-0.0752705
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3977566,37.7932607,4.9810000
MsgID.LOCAL_VELOCITY,0.0000000,6.0900000,-6.1400000,-0.0300000
MsgID.LOCAL_POSITION,72.0810000,86.6991959,-26.9604435,-4.9814596
MsgID.LOCAL_VELOCITY,72.0810000,6.0915880,-6.1416869,-0.0345770
MsgID.GLOBAL_POSITION,0.0000000,-122.3977740,37.7932754,4.9830000
MsgID.LOCAL_VELOCITY,0.0000000,6.1900000,-6.2200000,-0.0800000
MsgID.LOCAL_POSITION,72.3320000,88.3322906,-28.5073967,-4.9832726
MsgID.LOCAL_VELOCITY,72.3320000,6.1987686,-6.2264180,-0.0834646
MsgID.GLOBAL_POSITION,0.0000000,-122.3977894,37.7932894,4.9820000
MsgID.LOCAL_VELOCITY,0.0000000,6.2200000,-6.2400000,0.0300000
MsgID.LOCAL_POSITION,72.5810000,89.8859787,-29.8809299,-4.9823470
MsgID.LOCAL_VELOCITY,72.5810000,6.2269778,-6.2404113,0.0353815
MsgID.GLOBAL_POSITION,0.0000000,-122.3978069,37.7933032,4.9890000
